genes	cluster
FAM171A1	6
FAM184A	14
FAM185A	22
FAM189A2	12
FAM20B	5
FAM210A	5
FAM216A	6
FAM219B	6
FAM229A	15
FAM229B	13
FAM43A	6
FAM50A	5
FAM81A	6
FAM83H	6
FANCF	6
FASLG	2
FAT1	1
FAT4	1
FBLIM1	1
FBLN1	1
FBLN2	12
FBLN5	15
FBP1	10
FBXL7	13
FBXO15	6
FBXO17	3
FBXO40	6
FCF1	4
FCGBP	6
FCGR3A	5
FCN2	9
FCN3	3
FCRL6	2
FERMT2	15
FGA	5
FGB	5
FGD5	11
FGF1	12
FGFBP2	2
FGFR3	12
FGFRL1	2
FGG	10
FGL1	5
FHAD1	9
FHL1	1
FIGN	5
FILIP1	22
FITM1	19
FITM2	6
FKBP10	9
FKBP11	17
FKBP4	2
FLNA	5
FLNC	13
FLRT2	9
FLT4	6
FMNL2	10
FMO2	1
FMOD	1
FN1	1
FN3K	16
FNDC4	5
FNDC5	6
FNIP2	5
FOLR2	5
FOLR3	4
FOS	2
FOSB	2
FOSL2	2
FOXJ1	6
FRMD4B	5
FRMPD3	2
FSCN1	13
FSD2	6
FSTL1	8
FTCD	16
FTO	2
FTSJ1	5
FUNDC1	19
FUT11	2
FUT4	7
FXYD2	6
FXYD3	8
FYN	2
FZD4	1
FZD8	14
FZD9	25
FZR1	5
G0S2	5
GABARAPL2	23
GABRE	1
GADD45G	5
GAL3ST4	6
GALNT15	1
GALNT18	11
GALNT5	16
GALNT9	3
GAPT	6
GAREM1	14
GAS1	1
GAS2L1	5
GAS6	9
GATA6	11
GATAD2B	5
GCKR	5
GCNT2	4
GDF15	5
GDF9	6
GEM	9
GFI1	17
GFOD1	2
GFPT2	9
GFRA1	9
GFRA2	10
GGT5	4
GH1	17
GHRL	23
GID4	5
GIN1	4
GINS4	25
GIPR	2
GJA1	11
GJA4	9
GJB2	5
GLB1L2	2
GLDC	25
GLI1	6
GLI3	1
GLIS3	24
GLUL	5
GNA11	15
GNAI1	13
GNAO1	2
GNE	3
GNG12	1
GNG7	6
GNGT2	10
GNLY	2
GNMT	6
GNPDA1	10
GOLPH3L	6
GPAT2	14
