,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
ZNF671,196,74,41,9,5,0,0,13,0,12,0,0,0,0,0,1,0,0,1,0,0,12,24,80,114,14,32,0,0,0,0,0,0,106,1,1,196,39,24,30,30,38,22,10,26,0,22,24,5,0,160,39,86,35,63,11,93,67,46,12,0,6,4,33
ZNF709,12,6,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,7,0,2,0,0,0,0,0,0,12,0,0,19,5,5,5,6,4,6,5,3,0,3,3,0,0,15,8,10,6,8,2,16,5,6,1,0,0,0,9
ZNF737,384,168,112,19,10,1,1,18,0,11,0,0,0,0,0,0,0,0,2,0,0,10,9,43,69,13,11,0,0,0,0,0,0,217,1,7,437,64,63,87,68,65,54,23,32,0,51,45,6,2,306,87,193,65,167,26,261,136,83,11,0,8,2,81
ZNF740,302,129,85,15,20,4,1,48,0,25,0,0,0,0,1,0,0,0,6,0,0,13,78,294,423,44,92,0,0,0,0,0,0,237,4,1,438,80,54,65,70,66,61,18,48,0,57,48,7,0,298,77,163,70,187,40,260,143,107,19,1,8,4,99
ZNF75A,832,286,163,58,18,3,3,55,0,22,0,0,0,0,0,4,0,0,9,0,0,11,95,329,509,70,138,0,0,0,0,0,0,533,7,12,830,123,93,127,142,128,112,56,92,2,110,77,18,1,656,186,441,152,419,92,590,331,254,27,0,35,13,214
ZNF763,88,37,21,7,2,1,2,18,0,5,0,0,0,0,0,0,0,0,1,0,0,5,26,116,169,27,45,1,0,0,0,0,0,60,1,0,60,10,13,12,7,17,9,1,8,0,16,11,2,1,60,10,29,16,46,7,51,43,18,4,0,3,1,13
ZNF777,14,8,4,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,35,62,6,14,0,0,0,0,0,0,38,1,1,39,6,7,13,4,6,8,3,10,0,10,11,2,0,20,7,21,24,33,4,50,14,12,5,0,0,0,16
ZNF780B,214,94,73,14,17,1,3,52,0,15,0,0,0,0,1,1,0,0,5,0,0,9,50,242,301,43,96,0,0,0,0,0,0,184,2,4,430,40,72,83,68,60,56,24,39,0,52,40,11,4,393,80,177,73,210,44,241,150,96,15,0,11,6,67
ZNF782,93,39,23,7,8,0,1,8,0,6,0,0,0,0,0,0,0,0,4,0,0,4,30,91,125,16,35,0,0,0,0,0,0,70,3,4,127,21,19,20,26,26,23,5,17,0,14,24,2,0,89,30,60,25,85,14,98,38,40,5,0,4,2,23
ZNF814,263,143,102,19,30,3,2,43,0,30,0,0,0,0,0,0,0,0,2,0,0,2,79,265,427,42,70,0,0,0,0,0,0,166,4,5,235,29,42,31,41,36,47,18,34,1,19,28,8,1,211,59,116,38,85,20,100,103,58,17,1,7,3,30
