,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
EDRF1,433,138,140,65,264,35,2,56,0,10,0,0,0,0,3,2,0,0,0,0,0,14,196,956,1489,122,164,2,0,0,0,0,0,486,7,12,686,137,148,157,120,177,110,21,54,0,61,169,85,0,257,95,246,103,295,66,316,180,57,253,20,27,24,72
EFCAB5,75,26,24,10,36,0,1,16,0,2,0,0,0,0,1,1,0,0,0,0,0,10,130,393,961,37,78,2,0,0,0,0,0,76,1,2,131,23,21,20,25,45,21,3,8,0,6,24,19,0,41,16,31,10,48,18,47,28,12,52,3,7,5,14
EFHC1,509,171,154,39,247,25,2,59,0,22,0,0,0,0,2,3,0,0,1,0,0,22,338,1056,1802,130,161,7,0,0,0,1,0,341,3,6,438,77,82,86,77,136,76,20,19,0,39,76,22,1,180,61,156,45,170,43,215,143,29,91,11,7,4,31
EFNA4,84,47,49,29,28,6,1,24,0,3,0,0,0,0,2,3,0,0,0,0,0,3,101,316,538,59,91,1,0,0,0,0,0,102,0,2,147,32,23,33,30,24,24,3,8,0,7,19,17,0,41,22,37,14,54,10,55,22,8,36,3,3,3,15
EGF,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,258,4,13,25,1,3,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,2,0,1,1,0,0,2,1,0,0,0,0,1,1,0,3,0,0,0,0
EIF1,5498,1634,1332,411,1106,150,10,466,0,69,0,0,0,0,24,32,0,0,4,0,0,1334,2286,12057,21058,1293,2259,47,1,0,0,3,0,5540,48,81,7517,1527,1040,1812,1229,1225,1085,222,399,4,536,1465,339,8,2658,1053,1880,783,2658,497,2691,1513,512,1071,91,120,92,629
EIF3B,378,138,137,30,301,64,2,125,0,18,0,0,0,0,10,5,0,0,0,0,0,23,469,2701,4387,330,454,7,0,0,0,1,0,415,4,18,674,114,142,177,132,160,109,19,34,1,41,144,120,3,253,107,217,67,239,56,225,149,32,427,28,26,16,51
EIF4A3,462,188,193,67,410,101,1,134,0,48,0,0,0,0,5,9,0,0,1,0,0,37,641,2107,3232,312,402,5,0,0,0,0,0,547,4,32,746,146,155,219,246,333,215,41,60,1,84,243,213,4,282,152,346,113,372,119,404,234,94,679,50,48,19,79
EIF4G1,586,206,220,62,699,109,3,204,0,32,0,0,0,0,11,13,0,0,2,0,0,73,839,3970,6841,523,658,15,1,0,0,2,0,765,11,25,918,187,233,318,144,177,194,34,87,0,119,259,162,3,411,176,366,168,476,83,450,299,100,621,49,51,32,105
ELL3,310,36,15,2,1,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,50,45,17,13,0,0,0,0,0,0,3,0,0,30,5,4,6,7,2,0,0,0,0,0,3,0,0,13,4,2,1,4,3,0,6,0,2,0,0,0,0
