,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
GSPT1,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GSPT2,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GSS,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GSTP1,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GTF3C4,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GTPBP1,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GUK1,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GZMA,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GZMH,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
GZMK,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HAGH,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HAMP,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HBA2,1527,563,453,89,31,2,30,417,0,91,0,0,0,0,2,9,0,0,0,1,0,296,635,1804,3411,214,1304,4,0,17,0,2,0,3901,82,17,3086,534,313,678,325,440,464,235,585,8,922,375,23,4,2726,850,1900,815,3670,508,3584,1922,1214,228,1,24,35,1057
HCAR2,2181,1027,783,176,67,6,44,651,0,139,0,0,0,0,5,14,0,0,0,1,0,424,1877,3327,5128,335,1714,13,3,17,0,6,0,4104,84,16,4813,679,468,843,949,1068,1115,413,329,20,432,462,30,2,3998,1313,1857,667,2882,586,3030,1927,1347,155,1,21,48,1274
HCAR3,2701,1363,1022,248,84,10,44,701,0,174,0,0,0,0,5,14,0,0,0,1,0,451,1895,3461,5500,342,1936,13,3,17,0,6,0,4973,92,20,7327,1021,563,1195,1135,1250,1317,519,460,24,584,609,35,2,5729,1758,2388,1119,3839,942,4254,2925,1861,189,3,40,63,1878
HDLBP,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HEATR9,2313,985,779,155,52,8,37,575,0,119,0,0,0,0,4,13,0,0,0,1,0,346,1302,2729,4672,297,1655,6,2,17,0,4,0,4706,98,21,5292,900,456,1033,724,866,926,407,736,13,1037,553,30,4,4219,1417,2529,1246,4554,874,4980,2801,1753,267,2,39,49,1485
HEBP1,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HES4,2736,1387,995,250,93,10,41,634,0,184,0,0,0,0,4,14,0,0,0,1,0,443,1895,3076,4762,295,1821,13,3,18,0,6,0,5343,115,22,7468,1031,553,1154,1172,1284,1374,553,563,26,779,632,34,3,5946,1782,2673,1344,3728,998,4804,2999,1765,210,3,42,68,2022
HGD,2348,1125,845,211,69,6,44,674,0,167,0,0,0,0,5,14,0,0,0,1,0,444,1889,3416,5370,338,1875,13,3,17,0,6,0,4404,86,18,5988,799,513,991,1032,1134,1198,454,376,20,526,530,32,2,4943,1485,2033,766,3225,638,3320,2271,1459,163,2,27,56,1592
HILPDA,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HIVEP3,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HK1,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HK2,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HLA.DOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGCS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPA3,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HNRNPD,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HNRNPF,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HNRNPL,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HNRNPM,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HPCAL4,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
HRK,2972,1382,1068,235,91,10,52,764,0,166,0,0,0,0,5,14,0,0,0,1,0,448,1903,3722,6003,386,1941,13,3,18,0,6,0,5367,115,21,6895,1081,600,1273,1092,1233,1311,542,827,26,1146,662,36,4,5484,1824,3073,1399,4970,1043,5239,3174,2064,291,2,43,68,1916
HSD11B1L,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
