,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
OGFOD2,117,61,74,10,15,2,4,87,0,10,0,0,0,0,1,1,0,0,0,0,0,1,93,204,283,25,157,0,0,1,0,0,0,213,4,2,337,65,26,74,57,64,49,19,51,4,55,32,4,0,320,95,128,45,198,34,206,151,96,10,1,4,5,88
OLFML2B,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,4,6,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OPTN,265,213,262,50,47,1,1,22,0,25,0,0,0,0,0,1,0,0,0,0,0,26,98,190,263,23,62,0,0,0,0,1,0,2183,59,13,1910,578,317,710,380,548,640,256,440,8,674,453,34,3,1102,728,1470,718,2439,477,2393,1438,706,160,3,30,46,888
OR51E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR51E2,12,6,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,29,2,9,0,0,0,0,0,0,15,0,0,23,3,4,3,2,6,3,0,2,0,4,2,0,1,24,5,11,3,19,0,9,3,3,2,1,0,0,6
OSM,15,9,12,1,0,0,2,270,0,3,0,0,0,0,0,3,0,0,0,0,0,3,784,1133,1728,79,93,9,0,6,0,5,0,149,11,0,103,30,26,109,33,61,176,55,35,2,36,18,1,0,170,128,92,25,92,56,135,91,219,5,0,1,0,121
OTOA,10,8,7,1,0,0,3,13,0,3,0,0,0,0,0,1,0,0,0,0,0,1,53,86,140,13,44,0,0,0,0,0,0,25,0,0,25,2,1,2,5,5,4,0,2,0,1,2,0,0,15,4,6,4,11,5,13,16,11,1,0,1,1,4
OTUD7A,2,4,5,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,4,4,13,18,0,12,0,0,0,0,0,0,52,0,1,47,3,4,3,7,2,5,4,3,0,6,3,0,0,55,9,17,17,40,6,43,30,10,2,0,0,0,27
OXNAD1,68,33,31,6,7,1,1,47,0,4,0,0,0,0,1,0,0,0,0,0,0,15,53,109,156,15,77,0,0,0,0,0,0,440,22,3,3431,371,245,364,504,502,410,168,212,8,220,162,9,2,3311,692,659,165,766,175,589,423,496,74,2,7,31,518
P2RX6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,1,0,0,0,0,0,0,2,0,0,8,4,0,1,2,1,1,2,1,0,0,0,0,0,26,3,3,1,3,0,3,2,1,0,0,0,0,0
P2RX7,36,24,18,6,6,0,3,126,0,6,0,0,0,0,1,1,0,0,0,0,0,2,303,568,876,91,314,1,0,1,0,2,0,226,8,0,96,20,12,41,26,31,40,10,17,1,31,27,0,0,88,30,73,24,114,21,180,117,48,5,0,1,1,71
