Mixture	NK cells	Monocytes	NKT cells	B cells	T cells CD4	T cells CD8	Dendritic cells	Megakaryocytes
GTEX-147F4	0.158082624	0.479937416	0	0.258981253	0	0.037650359	0	0.065348348
GTEX-147GR	0.083166971	0.326836396	0	0.210723939	0.169514363	0.047453671	0.10205094	0.06025372
GTEX-147JS	0.118237535	0.075994449	0	0.173502766	0	0.419970906	0.197435896	0.014858448
GTEX-148VI	0.103248754	0.369876746	0.065726145	0.178100969	0.126629755	0.147082421	0	0.00933521
GTEX-148VJ	0.120053512	0.611911713	0	0.102186375	0.033118323	0.071363458	0	0.061366619
GTEX-1497J	0.112889716	0.649772732	0	0.051078855	0.15818275	0	0	0.028075947
GTEX-14A5H	0.084248933	0.535916887	0.016094864	0.166183956	0	0.157770618	0	0.039784741
GTEX-14A5I	0.087470736	0.536625552	0.014711113	0.144298968	0.054878428	0.045989157	0	0.116026047
GTEX-14A6H	0.072091266	0.423322779	0.043920398	0.186224812	0.198421815	0.043719156	0	0.032299775
GTEX-14ABY	0.104488494	0.109819311	0.09059766	0.23597548	0.098551652	0.313953797	0.026611665	0.020001942
GTEX-14AS3	0.101073762	0.468505983	0.036568554	0.013967826	0.256882157	0.086574316	0.016133381	0.020294021
GTEX-14B4R	0.10991708	0.632707061	0	0.044023573	0.19100242	0	0	0.022349867
GTEX-14BIL	0.134288072	0.52776171	0	0.136646849	0.074163335	0.072685383	0	0.054454651
GTEX-14BIM	0.09240792	0.739315677	0	0.020497477	0.134707704	0	0	0.013071222
GTEX-14BIN	0.111496554	0.351203211	0.153906634	0.097954206	0.070193282	0.202634342	0	0.012611771
GTEX-14BMU	0.072097936	0.700184226	0	0.075744796	0.133554032	0	0	0.01841901
GTEX-14BMV	0.065781609	0.259472011	0.078908806	0.264413772	0.01190005	0.242832256	0.058843868	0.017847629
GTEX-14C38	0.083893885	0.627137539	0	0.140600909	0.1057621	0	0	0.042605567
GTEX-14C39	0.081859366	0.645090533	0	0.093077492	0.084042335	0.047167095	0	0.048763179
GTEX-14C5O	0.208518667	0.478038573	0.020909426	0.108852137	0.015415951	0.023086514	0	0.145178731
GTEX-14DAQ	0.104249914	0.090844461	0.061104446	0.143032902	0.133439516	0.333914553	0.120272157	0.013142051
GTEX-14DAR	0.071557204	0.703826324	0	0.052731671	0.144193456	0	0	0.027691345
GTEX-14E1K	0.051197525	0.726859237	0	0.032683665	0.172302489	0	0	0.016957084
GTEX-14E6C	0.086057755	0.559192907	0.028197908	0.093427359	0.061424161	0.151102334	0	0.020597576
GTEX-14E6D	0.112788911	0.428106653	0.082999835	0.11649063	0.058802051	0.172150945	0.007669316	0.020991659
GTEX-14E6E	0.079715402	0.734379387	0	0.057223464	0.125296431	0	0	0.003385316
GTEX-14E7W	0.129252595	0.248132933	0.077596849	0.242412126	0	0.281160652	0.007137683	0.014307162
GTEX-14H4A	0.063074934	0.740615112	0	0.070781157	0.121726941	0	0	0.003801856
GTEX-14ICK	0.075227039	0.746173663	0	0.018632275	0.153087038	0	0	0.006879984
GTEX-14ICL	0.090599081	0.600552099	0.05407458	0.01972373	0.190355274	0	0	0.044695236
GTEX-14JFF	0.055528648	0.179030693	0.136542907	0.086297227	0	0.522662741	0.007293752	0.012644031
GTEX-14JG1	0.062516122	0.112356609	0.068286474	0.18192794	0.159724726	0.361736609	0.0362068	0.017244719
GTEX-14JG6	0.078302216	0.656602928	0	0.041463339	0.201046585	0	0	0.022584931
GTEX-14JIY	0.106322868	0.466571599	0.093595562	0.138920716	0	0.159256258	0	0.035332996
GTEX-14LLW	0.10345701	0.703550539	0	0.055739199	0.106383252	0	0	0.03087
GTEX-14LZ3	0.121686772	0.599463625	0	0.075959691	0.077819076	0.074526297	0	0.050544539
GTEX-14PHW	0.087363784	0.490422188	0.028804755	0.164730431	0	0.17930938	0	0.049369462
GTEX-14PHY	0.066122711	0.640577954	0	0.039756806	0.188030701	0	0	0.065511828
GTEX-14PII	0.134643681	0.640751454	0.011708946	0.099364905	0.030006121	0.062081145	0	0.021443748
GTEX-14PJ2	0.067528266	0.452069051	0.063610907	0.188442371	0.013363282	0.117197387	0.066419323	0.031369412
GTEX-14PJ3	0.086424751	0.667703123	0	0.061382393	0.170688741	0	0	0.013800992
GTEX-14PJ4	0.103911259	0.680666867	0	0.038045831	0.15473567	0	0	0.022640374
GTEX-14PJ5	0.067736544	0.662576346	0	0.030671037	0.216197672	0	0	0.022818401
GTEX-14PJ6	0.105855624	0.609395585	0	0.038863952	0.182664341	0	0	0.063220498
GTEX-14PJM	0.096618603	0.458102115	0.035826552	0.121873564	0.025783969	0.246008892	0	0.015786304
GTEX-14PJN	0.075405595	0.675662447	0	0.080877918	0.1421349	0	0	0.02591914
GTEX-14PJO	0.09778548	0.629274411	0.008083903	0.037049234	0.162514539	0.016665618	0	0.048626816
GTEX-14PJP	0.100712632	0.706694708	0	0.012290469	0.164691626	0	0	0.015610565
GTEX-14PK6	0.072256409	0.690075898	0	0.034898603	0.183024056	0	0	0.019745033
GTEX-14PKU	0.104249499	0.714869117	0	0.031438456	0.130650455	0	0	0.018792473
GTEX-14PKV	0.060798388	0.700133509	0	0.076957515	0.129417788	0	0	0.0326928
GTEX-14PN3	0.063717865	0.765773941	0	0.033836356	0.115652161	0	0	0.021019677
GTEX-14PN4	0.05449675	0.69912853	0.009821954	0.179580387	0.025426783	0	0	0.031545596
GTEX-14PQA	0.121938875	0.649203816	0	0.068473222	0.112258593	0.01644862	0	0.031676874
GTEX-14XAO	0.11058363	0.749050025	0	0.031636557	0.101665544	0	0	0.007064244
