Mixture	B cells	Monocytes	T cells CD4	T cells CD8	NK cells	Dendritic cells	NK T cells	Megakaryocytes
GTEX-13CF3	0.078405857	0.780377539	0	0.018423891	0.007545906	0	0.03458925	0.080657556
GTEX-13CIG	0.079971484	0.46395352	0.147471255	0.103474645	0.055203074	0.010002099	0.07189086	0.068033063
GTEX-13CZU	0.024272019	0.83394964	0.095264545	0.009910625	0.013499777	0	0.014047421	0.009055974
GTEX-13FTW	0	0.790622291	0.139339057	0.039085299	0.023656025	0	0.003231662	0.004065667
GTEX-13FTX	0.076535082	0.590127273	0.229378917	0.02320523	0.003255715	0	0.003447719	0.074050064
GTEX-13FTY	0.219117369	0.055552522	0.155419514	0.233211285	0.153744822	0.103784589	0.069144415	0.010025485
GTEX-13FTZ	0.199565071	0.213573613	0.024831777	0.314785454	0.106666301	0.00894346	0.028931723	0.102702603
GTEX-13FXS	0.203348265	0.065907605	0	0.373607546	0.188536722	0.049992676	0.081187574	0.037419613
GTEX-13G51	0.185160262	0.055417539	0	0.513539853	0.168192656	0.059379257	0.002304222	0.016006211
GTEX-13JUV	0.241078896	0.148340843	0.177093792	0.131687031	0.101679146	0.098682264	0.035551284	0.065886744
GTEX-13O61	0.001645275	0.886506641	0.049359631	0.045630246	0.011308211	0	0	0.005549996
GTEX-13OVG	0.081862845	0.827495426	0.016395985	0.020537001	0.003316512	0	0.019719605	0.030672627
GTEX-13OVH	0.164685352	0.55263199	0.012565549	0.16288872	0.037462537	0	0.015390318	0.054375534
GTEX-13OVI	0.051795503	0.759831244	0.069754831	0.072200424	0.008993482	0	0	0.037424517
GTEX-13OVJ	0.094994839	0.658378217	0.048858113	0.049342508	0.030494386	0	0.013665204	0.104266732
GTEX-13OVK	0.15304474	0.646736238	0.017810435	0.049135298	0.001884568	0	0.010500809	0.120887911
GTEX-13OVL	0.143902846	0.247475789	0	0.360450125	0.102765565	0.001932311	0.056722092	0.086751273
GTEX-13OW6	0.277245904	0.106121299	0	0.32810362	0.169038508	0.04637548	0.056549054	0.016566135
GTEX-13OW8	0.124328568	0.088766091	0.227315182	0.277523105	0.08575005	0.094584859	0.004174316	0.097557829
GTEX-13PL7	0.056174691	0.594148528	0.126646215	0.127938396	0.008912568	0	0.050709757	0.035469845
GTEX-13PLJ	0.223330949	0.10985422	0	0.240369656	0.17071458	0.030145527	0.133076566	0.092508503
GTEX-13S7M	0.095553236	0.572825512	0	0.150004028	0.084663797	0	0.078877893	0.018075534
GTEX-13S86	0.066016523	0.73046278	0.098347142	0.053365793	0.016345025	0	0.022131086	0.01333165
GTEX-13SLX	0.204138853	0.163560969	0	0.430178909	0.071013932	0	0.079333955	0.051773382
GTEX-13U4I	0.118252432	0.630227372	0.098228787	0.10080761	0.02214676	0	0.017457262	0.012879776
GTEX-13VXT	0.028354673	0.825176095	0.078659544	0.057770252	0.003896796	0	0	0.00614264
GTEX-13VXU	0.106844101	0.265382904	0	0.474431719	0.091965065	0	0.045543904	0.015832308
GTEX-13W3W	0	0.928042613	0.036913082	0.006904756	0.005146124	0	0.013483479	0.009509946
GTEX-1477Z	0.216579782	0.210831544	0.039663283	0.177155818	0.080336858	0.020904052	0.085583849	0.168944814
GTEX-147F3	0.018587473	0.817491555	0.080892891	0.049068125	0.002275475	0	0.016574765	0.015109716
GTEX-147F4	0.277558655	0.293714883	0	0.081309488	0.083767295	0.005600023	0.072240135	0.185809522
GTEX-147GR	0.255717274	0.17910124	0.083747414	0.12425112	0.063746711	0.186987567	0.015363796	0.091084878
GTEX-147JS	0.22739476	0.001178426	0	0.482348268	0.058289765	0.114914077	0.074378602	0.041496103
GTEX-148VI	0.238586708	0.231767056	0.030163678	0.194889975	0.157285341	0	0.085439319	0.061867923
GTEX-148VJ	0.080239368	0.626672001	0	0.188989326	0.054443062	0	0	0.049656243
GTEX-1497J	0.020645999	0.588027607	0.168991744	0.127914413	0.051339479	0	0.026644449	0.016436308
GTEX-14A5H	0.151830264	0.540491649	0	0.201374561	0.063371753	0	0.000514227	0.042417546
GTEX-14A5I	0.103793661	0.570218583	0.028967283	0.149283277	0.046228054	0	0.054101914	0.047407228
GTEX-14A6H	0.305142697	0.332149969	0.064126579	0.155791379	0.074752156	0.013735783	0.03354438	0.020757057
GTEX-14ABY	0.235771487	0.019332915	0.174832212	0.240014176	0.156495507	0.039773951	0.083176669	0.050603083
GTEX-14AS3	0.10065184	0.359088341	0.138479779	0.116106695	0.085521763	0.042874419	0.130682989	0.026594174
GTEX-14B4R	0	0.736436633	0.158443596	0.049895464	0.016441808	0	0.001360244	0.037422256
GTEX-14BIL	0.144403918	0.250031395	0.041674582	0.319909162	0.079839018	0.022861685	0.027689036	0.113591205
GTEX-14BIM	0.049018056	0.761103468	0.104396789	0.044381117	0.019943961	0	0.005476757	0.015679853
GTEX-14BIN	0.089990138	0.339273508	0.008331599	0.28429052	0.161384909	0	0.107329744	0.009399582
GTEX-14BMU	0.047935513	0.820083351	0.081252344	0.023645182	0.004629638	0	0.003102689	0.019351283
GTEX-14BMV	0.30217544	0.13728733	0.044245236	0.253896475	0.086810315	0.100455917	0.063157052	0.011972235
GTEX-14C38	0.084690739	0.749902418	0.019597987	0.049182818	0.017293138	0	0.021548461	0.057784438
GTEX-14C39	0.09250709	0.534556351	0.071879151	0.127885092	0.042991333	0.017657954	0.008468259	0.10405477
GTEX-14C5O	0.099247578	0.318622969	0.041916133	0.103688451	0.092903756	0	0.156455492	0.187165621
GTEX-14DAQ	0.230307504	0.035607722	0.060990505	0.348654961	0.130188901	0.093556715	0.089069773	0.011623919
GTEX-14DAR	0.034644062	0.797715621	0.102397222	0.036463299	0.002872617	0	0.000691992	0.025215187
GTEX-14E1K	0	0.77067363	0.153272416	0.041880485	0.010579819	0	0	0.023593649
GTEX-14E6C	0.070382069	0.472738618	0.011471759	0.305152578	0.024580879	0	0.078560977	0.037113119
GTEX-14E6D	0.17696259	0.341986915	0	0.259578994	0.181968586	0.021790311	0.002040478	0.015672126
GTEX-14E6E	0.00964629	0.926010141	0.040552547	0.011789486	0.006058556	0	0.003849415	0.002093565
GTEX-14E7W	0.289556589	0.139064785	0.00175636	0.316169685	0.153678376	0.019421588	0.068772729	0.011579888
GTEX-14H4A	0.057997161	0.878081106	0.036213527	0.011167285	0.002836621	0	0.010394137	0.003310163
GTEX-14ICK	0	0.89620767	0.02135673	0.047190153	0.014434731	0	0.013981582	0.006829135
GTEX-14ICL	0.015042302	0.605940384	0.147112031	0.101450665	0.065983278	0	0.038488966	0.025982372
GTEX-14JFF	0.078550373	0.175633565	0	0.472168672	0.172784686	0.003207661	0.056871344	0.040783699
GTEX-14JG1	0.201169633	0.023832691	0.20104357	0.371015348	0.119131643	0.035417666	0	0.048389448
GTEX-14JG6	0.072477851	0.715200561	0.101099046	0.049899509	0.003707827	0	0.015914524	0.041700682
GTEX-14JIY	0.238023866	0.38364273	0	0.129041575	0.095566083	0	0.039576001	0.114149746
GTEX-14LLW	0.060613311	0.709333713	0.038618598	0.095473805	0.04253924	0	0.008718739	0.044702594
GTEX-14LZ3	0.106989363	0.653056833	0.015198999	0.130875283	0.046336386	0	0.020189039	0.027354097
GTEX-14PHW	0.120192011	0.25380777	0.105057367	0.186627117	0.076980295	0	0.068423099	0.188912341
GTEX-14PHY	0.038538013	0.775879379	0.075271822	0.055815597	0.006396153	0	0.010216115	0.037882921
GTEX-14PII	0.072154346	0.434687008	0	0.315229325	0.095153004	0	0.027732915	0.055043401
GTEX-14PJ2	0.305168347	0.31773473	0.006029487	0.043925493	0.087625125	0.120367036	0.096606577	0.022543205
GTEX-14PJ3	0.001490234	0.893146621	0.074835182	0.01264388	0.002293746	0	0.008379689	0.007210648
GTEX-14PJ4	0	0.776372456	0.099950719	0.043969901	0.049345762	0	0	0.030361161
GTEX-14PJ5	0.05569829	0.682790438	0.177746628	0.046577223	0.005981417	0	0	0.031206005
GTEX-14PJ6	0.031537035	0.783602529	0.030093165	0.073467041	0.004674783	0	0.01651485	0.060110598
GTEX-14PJM	0.125582386	0.270136911	0.100799697	0.330084146	0.092131118	0.051006877	0.01950909	0.010749773
GTEX-14PJN	0.065399424	0.775085618	0.057935473	0.055616982	0.004612235	0	0	0.041350269
GTEX-14PJO	0.022692288	0.521994689	0.19764464	0.10136911	0.039898944	0	0.031810885	0.084589444
GTEX-14PJP	0.015263803	0.906598208	0.040199071	0.006865976	0.006462166	0	0.015773506	0.008837269
GTEX-14PK6	0.0719132	0.760625289	0.078013742	0.03048139	0.022191323	0	0.02018849	0.016586566
GTEX-14PKU	0.085730328	0.821744833	0	0.037063148	0.002316781	0	0.026652434	0.026492476
GTEX-14PKV	0.053035975	0.747744244	0.113770522	0.002582883	7.00E-05	0	0.037127169	0.045669191
GTEX-14PN3	0	0.879605232	0.021667784	0.054620036	0.013009322	0	0.015414831	0.015682796
GTEX-14PN4	0.158490855	0.728444027	0	0.01402515	0.003079339	0	0.02565817	0.070302459
GTEX-14PQA	0.086234288	0.61313249	0.073734467	0.095386934	0.058554596	0	0.030706311	0.042250914
GTEX-14XAO	0.003411527	0.903352927	0.061743421	0.001072557	0.005891266	0	0.016735289	0.007793013
GTEX-15CHC	0.026070653	0.838216503	0.040884692	0.019298174	0.003793719	0	0.01193804	0.059798219
GTEX-15CHQ	0.125916945	0.088467535	0	0.469852216	0.186839466	0.019538312	0.042568942	0.066816584
GTEX-15CHR	0	0.777613254	0.171513903	0.028989915	0.005572251	0	0.008636058	0.00767462
GTEX-15D1Q	0.14342548	0.406840602	0.113873216	0.238094536	0.012744205	0.040462703	0.03836284	0.006196417
GTEX-15D79	0.21494572	0.204704368	0	0.3664578	0.077990976	0.009496323	0.096332727	0.030072087
GTEX-15DCD	0.103135496	0.267828789	0	0.434324815	0.114822954	0	0.075617898	0.004270048
GTEX-15DCE	0.027856739	0.674396711	0.057914703	0.090523329	0.011889945	0	0.030765706	0.106652867
GTEX-15DYW	0.138623603	0.07233417	0	0.501305777	0.119424576	0.007038685	0.144271981	0.017001207
GTEX-15DZA	0.016992391	0.757007004	0.101216675	0.046389319	0.005304079	0	0.01025145	0.062839082
GTEX-15EO6	0.118806311	0.632702156	0.017025305	0.007569391	0.041439982	0	0.039354101	0.143102754
GTEX-15ETS	0.054910117	0.776113101	0.094950715	0.034581081	0.002962146	0	0.004124827	0.032358014
GTEX-15EU6	0.105510226	0.862505093	0.001434804	0.008215854	0.000499912	0	0.010181326	0.011652785
GTEX-15G19	0.067007785	0.021876613	0	0.552012268	0.222582399	0	0.049777862	0.086743073
GTEX-15G1A	0.080746991	0.861829389	0	0.033494236	0.007926008	0	0.006661297	0.009342079
GTEX-15RIE	0.05557164	0.699423894	0.141004992	0.04728472	0.007552087	0	0.020409429	0.028753238
